token,mean_abs_shap_value
mr,3.161195
vrijheidvooreenprikkie,0.9815947
toekomst,0.8341728
three,0.7932484
hoewel,0.7875251
zelfbeschikkingsrecht,0.7260156
bieden,0.55252415
got,0.54373395
coronamaatregelen,0.538626
vaccinatiedwang,0.525149
sommige,0.4755581
waardoor,0.46529704
drie,0.46491015
create,0.44025898
zerotolerance,0.40300682
biedt,0.39062583
we,0.38253623
aantal,0.38234097
significant,0.3675938
sexualharassment,0.35678437
workplaceharassment,0.3066789
wanted,0.30606067
seen,0.302399
geschiedenis,0.3016443
bebrave,0.29811662
waaromdoenzedit,0.2909887
week,0.2845045
hit,0.2800806
overall,0.27870464
komt,0.27644205
net,0.25833932
help,0.24979833
youre,0.24795905
belangrijk,0.24528903
zit,0.2443649
bewust,0.23702385
future,0.2292456
lijkt,0.22859034
important,0.21905003
daarom,0.21396439
zoals,0.21052215
vraag,0.20396423
pretty,0.20328245
conclusion,0.20090748
welke,0.1992373
really,0.19584638
lets,0.19420026
vrijheid,0.19384488
harassment,0.19359668
uiteindelijk,0.1908752
announced,0.1887017
boek,0.18866639
nodig,0.1844485
vaccinatieplicht,0.18373622
despite,0.18063948
wont,0.17952552
eerste,0.17499681
everyone,0.17020227
zien,0.16697603
making,0.16503243
wel,0.16468672
using,0.1646611
aint,0.1643404
vind,0.16328675
tried,0.15726297
said,0.15437277
vol,0.15424804
come,0.1521061
samenwerking,0.15031713
snel,0.14940506
auteur,0.14809288
vaak,0.1397462
zitten,0.13769381
mee,0.13603114
impact,0.12658292
however,0.118589945
eind,0.11277937
political,0.111386746
vaccin,0.11090973
put,0.10763374
brussel,0.10260344
ive,0.10198579
jaar,0.0919782
nieuwe,0.090139374
get,0.089164995
iedereen,0.08732924
hard,0.083578534
onze,0.083501786
echter,0.08227189
genieten,0.08083241
well,0.07926165
mening,0.0784622
make,0.07811694
verhaal,0.07801122
also,0.076895185
including,0.074788444
expected,0.06836288
twee,0.066960536
echt,0.0656767
waar,0.06323711
thought,0.06081178
sexual,0.060726564
heel,0.059894226
would,0.05608035
mensen,0.054836664
change,0.05456813
thing,0.054226372
euro,0.053878132
going,0.051939562
daarnaast,0.051624957
unfortunately,0.05073072
staat,0.048365965
either,0.047365807
