ExplainMethod,Strategy,Model,NumAI,Flips,FlipRate(%)
SHAP,HSR,XGBoost,120,17,14.166666666666666
SHAP,HSR,BERT-base,120,7,5.833333333333333
SHAP,HSR,DistilBERT,120,9,7.5
SHAP,HSR,XLM-RoBERTa,120,1,0.8333333333333334
SHAP,HSR,Ensemble,120,8,6.666666666666667
SHAP,PSR,XGBoost,120,7,5.833333333333333
SHAP,PSR,BERT-base,120,4,3.3333333333333335
SHAP,PSR,DistilBERT,120,4,3.3333333333333335
SHAP,PSR,XLM-RoBERTa,120,0,0.0
SHAP,PSR,Ensemble,120,3,2.5
SHAP,GPT,XGBoost,120,4,3.3333333333333335
SHAP,GPT,BERT-base,120,7,5.833333333333333
SHAP,GPT,DistilBERT,120,7,5.833333333333333
SHAP,GPT,XLM-RoBERTa,120,0,0.0
SHAP,GPT,Ensemble,120,10,8.333333333333332
SHAP,GPT+Genre,XGBoost,120,4,3.3333333333333335
SHAP,GPT+Genre,BERT-base,120,3,2.5
SHAP,GPT+Genre,DistilBERT,120,6,5.0
SHAP,GPT+Genre,XLM-RoBERTa,120,0,0.0
SHAP,GPT+Genre,Ensemble,120,11,9.166666666666666
LIME,HSR,XGBoost,120,78,65.0
LIME,HSR,BERT-base,120,31,25.833333333333336
LIME,HSR,DistilBERT,120,32,26.666666666666668
LIME,HSR,XLM-RoBERTa,120,3,2.5
LIME,HSR,Ensemble,120,33,27.500000000000004
LIME,PSR,XGBoost,120,46,38.333333333333336
LIME,PSR,BERT-base,120,20,16.666666666666664
LIME,PSR,DistilBERT,120,19,15.833333333333332
LIME,PSR,XLM-RoBERTa,120,5,4.166666666666666
LIME,PSR,Ensemble,120,19,15.833333333333332
LIME,GPT,XGBoost,120,38,31.666666666666664
LIME,GPT,BERT-base,120,11,9.166666666666666
LIME,GPT,DistilBERT,120,11,9.166666666666666
LIME,GPT,XLM-RoBERTa,120,0,0.0
LIME,GPT,Ensemble,120,11,9.166666666666666
LIME,GPT+Genre,XGBoost,120,41,34.166666666666664
LIME,GPT+Genre,BERT-base,120,4,3.3333333333333335
LIME,GPT+Genre,DistilBERT,120,7,5.833333333333333
LIME,GPT+Genre,XLM-RoBERTa,120,0,0.0
LIME,GPT+Genre,Ensemble,120,9,7.5
Random,HSR,XGBoost,120,15,12.5
Random,HSR,BERT-base,120,20,16.666666666666664
Random,HSR,DistilBERT,120,22,18.333333333333332
Random,HSR,XLM-RoBERTa,120,2,1.6666666666666667
Random,HSR,Ensemble,120,20,16.666666666666664
Random,PSR,XGBoost,120,10,8.333333333333332
Random,PSR,BERT-base,120,17,14.166666666666666
Random,PSR,DistilBERT,120,11,9.166666666666666
Random,PSR,XLM-RoBERTa,120,1,0.8333333333333334
Random,PSR,Ensemble,120,14,11.666666666666666
Random,GPT,XGBoost,120,16,13.333333333333334
Random,GPT,BERT-base,120,6,5.0
Random,GPT,DistilBERT,120,6,5.0
Random,GPT,XLM-RoBERTa,120,0,0.0
Random,GPT,Ensemble,120,5,4.166666666666666
Random,GPT+Genre,XGBoost,120,13,10.833333333333334
Random,GPT+Genre,BERT-base,120,6,5.0
Random,GPT+Genre,DistilBERT,120,9,7.5
Random,GPT+Genre,XLM-RoBERTa,120,0,0.0
Random,GPT+Genre,Ensemble,120,11,9.166666666666666
