AI_index,ModelsFlipped
0,BERT-base
1,XGBoost
6,XGBoost
7,"XGBoost,BERT-base,DistilBERT,Ensemble"
12,"BERT-base,DistilBERT"
20,"XGBoost,BERT-base,DistilBERT,Ensemble"
21,DistilBERT
24,XGBoost
25,XGBoost
26,"XGBoost,BERT-base,DistilBERT,Ensemble"
28,XGBoost
29,"BERT-base,XLM-RoBERTa"
31,"XGBoost,BERT-base,Ensemble"
34,XGBoost
35,XGBoost
39,"XGBoost,DistilBERT,Ensemble"
41,"XGBoost,DistilBERT"
45,DistilBERT
46,"XGBoost,BERT-base,DistilBERT,XLM-RoBERTa,Ensemble"
47,XGBoost
49,XGBoost
51,"XGBoost,Ensemble"
54,XGBoost
55,"XGBoost,Ensemble"
59,XGBoost
63,XGBoost
66,"XGBoost,BERT-base,DistilBERT,Ensemble"
68,"XGBoost,BERT-base,DistilBERT,Ensemble"
70,XGBoost
71,XGBoost
72,XGBoost
73,XGBoost
76,"XGBoost,DistilBERT,Ensemble"
82,"XGBoost,Ensemble"
88,"XGBoost,BERT-base,DistilBERT,Ensemble"
91,"XGBoost,BERT-base,DistilBERT,Ensemble"
92,"XGBoost,Ensemble"
93,XGBoost
94,XGBoost
99,"XGBoost,BERT-base,DistilBERT,Ensemble"
103,XGBoost
104,XGBoost
105,XGBoost
107,"XGBoost,Ensemble"
108,DistilBERT
110,"XGBoost,BERT-base,DistilBERT,Ensemble"
111,"XGBoost,BERT-base,DistilBERT"
113,XGBoost
116,XGBoost
118,"XGBoost,BERT-base"
119,"XGBoost,BERT-base,DistilBERT,Ensemble"
120,XGBoost
128,"XGBoost,BERT-base,DistilBERT,Ensemble"
134,DistilBERT
136,XGBoost
137,Ensemble
140,"XGBoost,DistilBERT"
142,"XGBoost,BERT-base"
143,XGBoost
145,"XGBoost,BERT-base,DistilBERT,Ensemble"
147,"XGBoost,BERT-base,DistilBERT"
149,XGBoost
150,"BERT-base,DistilBERT,Ensemble"
151,XGBoost
153,XGBoost
154,XGBoost
155,XGBoost
163,XGBoost
167,"XGBoost,BERT-base"
168,"XGBoost,Ensemble"
171,"XGBoost,BERT-base,Ensemble"
181,"XGBoost,BERT-base"
182,XGBoost
188,"XGBoost,DistilBERT,Ensemble"
192,"XGBoost,XLM-RoBERTa,Ensemble"
193,XGBoost
197,"XGBoost,BERT-base,DistilBERT,Ensemble"
198,"XGBoost,Ensemble"
200,XGBoost
205,XGBoost
206,XGBoost
207,Ensemble
211,Ensemble
213,"XGBoost,BERT-base,DistilBERT"
225,"XGBoost,BERT-base,DistilBERT,Ensemble"
226,XGBoost
227,XGBoost
230,"XGBoost,BERT-base,DistilBERT,Ensemble"
233,"BERT-base,DistilBERT"
234,"XGBoost,BERT-base"
235,DistilBERT
