AI_index,ModelsFlipped
0,"XGBoost,BERT-base"
1,"XGBoost,XLM-RoBERTa"
6,XGBoost
7,"XGBoost,BERT-base,DistilBERT,Ensemble"
12,BERT-base
20,"XGBoost,BERT-base,DistilBERT,Ensemble"
21,DistilBERT
24,XGBoost
25,XGBoost
26,"XGBoost,DistilBERT,Ensemble"
31,"XGBoost,BERT-base,Ensemble"
35,XGBoost
46,XGBoost
47,XGBoost
51,XGBoost
55,XGBoost
59,XGBoost
66,"XGBoost,BERT-base,DistilBERT,Ensemble"
68,"XGBoost,BERT-base,XLM-RoBERTa,Ensemble"
71,"XGBoost,DistilBERT,Ensemble"
72,XGBoost
76,"XGBoost,DistilBERT"
82,"XGBoost,BERT-base,DistilBERT,Ensemble"
88,"XGBoost,BERT-base"
91,"XGBoost,BERT-base,DistilBERT,XLM-RoBERTa,Ensemble"
92,XGBoost
93,XGBoost
94,XGBoost
100,XGBoost
107,XLM-RoBERTa
110,"XGBoost,BERT-base,DistilBERT,Ensemble"
111,"XGBoost,BERT-base,DistilBERT,Ensemble"
113,XGBoost
118,BERT-base
119,"XGBoost,BERT-base,DistilBERT,Ensemble"
120,XGBoost
128,DistilBERT
134,DistilBERT
136,XGBoost
137,Ensemble
140,XGBoost
142,XGBoost
145,"XGBoost,BERT-base,DistilBERT,Ensemble"
149,DistilBERT
150,Ensemble
151,XGBoost
153,XGBoost
167,XGBoost
171,"XGBoost,BERT-base,Ensemble"
181,XGBoost
188,Ensemble
192,XLM-RoBERTa
197,"XGBoost,Ensemble"
198,XGBoost
213,"XGBoost,BERT-base,DistilBERT"
225,"XGBoost,BERT-base,DistilBERT,Ensemble"
226,XGBoost
230,BERT-base
233,BERT-base
235,DistilBERT
