AI_index,ModelsFlipped
1,XGBoost
7,"XGBoost,BERT-base,Ensemble"
12,DistilBERT
20,BERT-base
21,DistilBERT
23,Ensemble
26,"XGBoost,BERT-base,DistilBERT,Ensemble"
29,"BERT-base,XLM-RoBERTa"
31,DistilBERT
38,BERT-base
39,"XGBoost,DistilBERT"
59,BERT-base
66,"XGBoost,BERT-base,DistilBERT,Ensemble"
68,BERT-base
76,DistilBERT
88,"XGBoost,BERT-base,Ensemble"
91,"XGBoost,BERT-base,DistilBERT,Ensemble"
99,"XGBoost,BERT-base,DistilBERT,Ensemble"
100,Ensemble
104,"BERT-base,Ensemble"
107,"BERT-base,Ensemble"
111,DistilBERT
116,DistilBERT
118,Ensemble
119,"BERT-base,DistilBERT,Ensemble"
120,XGBoost
128,DistilBERT
131,BERT-base
134,DistilBERT
149,DistilBERT
150,Ensemble
156,Ensemble
167,XGBoost
171,"DistilBERT,Ensemble"
181,XGBoost
188,"DistilBERT,Ensemble"
192,"XGBoost,XLM-RoBERTa,Ensemble"
197,"XGBoost,BERT-base,Ensemble"
198,Ensemble
207,DistilBERT
225,"XGBoost,BERT-base,DistilBERT,Ensemble"
230,"XGBoost,BERT-base,DistilBERT"
233,"BERT-base,DistilBERT"
234,BERT-base
235,DistilBERT
