AI_index,ModelsFlipped
1,XGBoost
7,Ensemble
12,DistilBERT
21,DistilBERT
24,BERT-base
26,"XGBoost,BERT-base,DistilBERT,Ensemble"
31,DistilBERT
41,DistilBERT
59,BERT-base
66,XGBoost
68,BERT-base
72,DistilBERT
82,"BERT-base,Ensemble"
88,"XGBoost,BERT-base,Ensemble"
91,"XGBoost,BERT-base,DistilBERT,Ensemble"
100,Ensemble
104,"BERT-base,Ensemble"
107,Ensemble
113,BERT-base
118,BERT-base
119,Ensemble
120,XGBoost
145,"BERT-base,DistilBERT"
153,Ensemble
163,BERT-base
167,XGBoost
171,Ensemble
188,XGBoost
192,XLM-RoBERTa
197,"XGBoost,Ensemble"
198,Ensemble
207,DistilBERT
225,"XGBoost,BERT-base,DistilBERT,Ensemble"
226,BERT-base
230,BERT-base
233,BERT-base
234,BERT-base
235,DistilBERT
