AI_index,ModelsFlipped
1,XGBoost
24,XGBoost
28,XGBoost
29,XGBoost
35,XGBoost
39,XGBoost
55,"XGBoost,Ensemble"
66,XGBoost
73,Ensemble
82,Ensemble
107,"XGBoost,BERT-base,Ensemble"
113,XGBoost
118,"XGBoost,BERT-base"
120,DistilBERT
142,XGBoost
145,"BERT-base,DistilBERT"
150,Ensemble
156,"DistilBERT,Ensemble"
163,XGBoost
171,"XGBoost,BERT-base,DistilBERT,Ensemble"
188,"XGBoost,DistilBERT,Ensemble"
192,XLM-RoBERTa
193,XGBoost
207,DistilBERT
213,"BERT-base,DistilBERT"
227,XGBoost
233,"BERT-base,DistilBERT"
234,BERT-base
235,DistilBERT
