ExplainMethod,Strategy,Model,Precision,Recall,F1,Accuracy,BLEU,ROUGE1,ROUGEL
NoRewriting,Original,XGBoost,0.7983870967741935,0.825,0.8114754098360656,0.8083333333333333,100.0,100.0,100.0
NoRewriting,Original,BERT-base,0.7652173913043478,0.7333333333333333,0.7489361702127659,0.7541666666666667,100.0,100.0,100.0
NoRewriting,Original,DistilBERT,0.7481481481481481,0.8416666666666667,0.792156862745098,0.7791666666666667,100.0,100.0,100.0
NoRewriting,Original,XLM-RoBERTa,0.5221238938053098,0.9833333333333333,0.6820809248554913,0.5416666666666666,100.0,100.0,100.0
NoRewriting,Original,Ensemble,0.8448275862068966,0.8166666666666667,0.8305084745762712,0.8333333333333334,100.0,100.0,100.0
SHAP,HSR,XGBoost,0.7727272727272727,0.7083333333333334,0.7391304347826086,0.75,92.64949959832468,97.09016903527514,97.08761279805633
SHAP,HSR,BERT-base,0.7522935779816514,0.6833333333333333,0.7161572052401747,0.7291666666666666,92.64949959832468,97.09016903527514,97.08761279805633
SHAP,HSR,DistilBERT,0.7364341085271318,0.7916666666666666,0.7630522088353414,0.7541666666666667,92.64949959832468,97.09016903527514,97.08761279805633
SHAP,HSR,XLM-RoBERTa,0.5221238938053098,0.9833333333333333,0.6820809248554913,0.5416666666666666,92.64949959832468,97.09016903527514,97.08761279805633
SHAP,HSR,Ensemble,0.8333333333333334,0.75,0.7894736842105263,0.8,92.64949959832468,97.09016903527514,97.08761279805633
SHAP,PSR,XGBoost,0.788135593220339,0.775,0.7815126050420168,0.7833333333333333,96.86652980861949,98.68405232410423,98.68169827514002
SHAP,PSR,BERT-base,0.7610619469026548,0.7166666666666667,0.7381974248927039,0.7458333333333333,96.86652980861949,98.68405232410423,98.68169827514002
SHAP,PSR,DistilBERT,0.746268656716418,0.8333333333333334,0.7874015748031497,0.775,96.86652980861949,98.68405232410423,98.68169827514002
SHAP,PSR,XLM-RoBERTa,0.5242290748898678,0.9916666666666667,0.6858789625360231,0.5458333333333333,96.86652980861949,98.68405232410423,98.68169827514002
SHAP,PSR,Ensemble,0.8421052631578947,0.8,0.8205128205128205,0.825,96.86652980861949,98.68405232410423,98.68169827514002
SHAP,GPT,XGBoost,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,86.24580289751685,93.06578758501425,93.06578758501425
SHAP,GPT,BERT-base,0.7610619469026548,0.7166666666666667,0.7381974248927039,0.7458333333333333,86.24580289751685,93.06578758501425,93.06578758501425
SHAP,GPT,DistilBERT,0.7404580152671756,0.8083333333333333,0.7729083665338645,0.7625,86.24580289751685,93.06578758501425,93.06578758501425
SHAP,GPT,XLM-RoBERTa,0.5263157894736842,1.0,0.6896551724137931,0.55,86.24580289751685,93.06578758501425,93.06578758501425
SHAP,GPT,Ensemble,0.8378378378378378,0.775,0.8051948051948052,0.8125,86.24580289751685,93.06578758501425,93.06578758501425
SHAP,GPT+Genre,XGBoost,0.7950819672131147,0.8083333333333333,0.8016528925619835,0.8,86.31594963917566,93.65898906129603,93.65647143793248
SHAP,GPT+Genre,BERT-base,0.7610619469026548,0.7166666666666667,0.7381974248927039,0.7458333333333333,86.31594963917566,93.65898906129603,93.65647143793248
SHAP,GPT+Genre,DistilBERT,0.7424242424242424,0.8166666666666667,0.7777777777777778,0.7666666666666667,86.31594963917566,93.65898906129603,93.65647143793248
SHAP,GPT+Genre,XLM-RoBERTa,0.5263157894736842,1.0,0.6896551724137931,0.55,86.31594963917566,93.65898906129603,93.65647143793248
SHAP,GPT+Genre,Ensemble,0.8348623853211009,0.7583333333333333,0.7947598253275109,0.8041666666666667,86.31594963917566,93.65898906129603,93.65647143793248
LIME,HSR,XGBoost,0.45652173913043476,0.175,0.25301204819277107,0.48333333333333334,84.1930676306162,92.25465302977946,92.22547170721673
LIME,HSR,BERT-base,0.6823529411764706,0.48333333333333334,0.5658536585365853,0.6291666666666667,84.1930676306162,92.25465302977946,92.22547170721673
LIME,HSR,DistilBERT,0.6730769230769231,0.5833333333333334,0.625,0.65,84.1930676306162,92.25465302977946,92.22547170721673
LIME,HSR,XLM-RoBERTa,0.515695067264574,0.9583333333333334,0.6705539358600583,0.5291666666666667,84.1930676306162,92.25465302977946,92.22547170721673
LIME,HSR,Ensemble,0.7831325301204819,0.5416666666666666,0.6403940886699507,0.6958333333333333,84.1930676306162,92.25465302977946,92.22547170721673
LIME,PSR,XGBoost,0.6951219512195121,0.475,0.5643564356435643,0.6333333333333333,90.43309173868755,95.54119912504521,95.47833826623508
LIME,PSR,BERT-base,0.7216494845360825,0.5833333333333334,0.6451612903225806,0.6791666666666667,90.43309173868755,95.54119912504521,95.47833826623508
LIME,PSR,DistilBERT,0.7142857142857143,0.7083333333333334,0.7112970711297071,0.7125,90.43309173868755,95.54119912504521,95.47833826623508
LIME,PSR,XLM-RoBERTa,0.5113122171945701,0.9416666666666667,0.6627565982404692,0.5208333333333334,90.43309173868755,95.54119912504521,95.47833826623508
LIME,PSR,Ensemble,0.8163265306122449,0.6666666666666666,0.7339449541284404,0.7583333333333333,90.43309173868755,95.54119912504521,95.47833826623508
LIME,GPT,XGBoost,0.7023809523809523,0.49166666666666664,0.5784313725490197,0.6416666666666667,76.24698498231649,84.01887088461172,84.01887088461172
LIME,GPT,BERT-base,0.7589285714285714,0.7083333333333334,0.7327586206896551,0.7416666666666667,76.24698498231649,84.01887088461172,84.01887088461172
LIME,GPT,DistilBERT,0.7443609022556391,0.825,0.782608695652174,0.7708333333333334,76.24698498231649,84.01887088461172,84.01887088461172
LIME,GPT,XLM-RoBERTa,0.5263157894736842,1.0,0.6896551724137931,0.55,76.24698498231649,84.01887088461172,84.01887088461172
LIME,GPT,Ensemble,0.8448275862068966,0.8166666666666667,0.8305084745762712,0.8333333333333334,76.24698498231649,84.01887088461172,84.01887088461172
LIME,GPT+Genre,XGBoost,0.7159090909090909,0.525,0.6057692307692307,0.6583333333333333,76.27054937107691,84.57433963185437,84.47998909289917
LIME,GPT+Genre,BERT-base,0.7672413793103449,0.7416666666666667,0.7542372881355932,0.7583333333333333,76.27054937107691,84.57433963185437,84.47998909289917
LIME,GPT+Genre,DistilBERT,0.7424242424242424,0.8166666666666667,0.7777777777777778,0.7666666666666667,76.27054937107691,84.57433963185437,84.47998909289917
LIME,GPT+Genre,XLM-RoBERTa,0.5263157894736842,1.0,0.6896551724137931,0.55,76.27054937107691,84.57433963185437,84.47998909289917
LIME,GPT+Genre,Ensemble,0.8392857142857143,0.7833333333333333,0.8103448275862069,0.8166666666666667,76.27054937107691,84.57433963185437,84.47998909289917
Random,HSR,XGBoost,0.7706422018348624,0.7,0.7336244541484717,0.7458333333333333,84.39831474394822,92.26037483001713,92.26037483001713
Random,HSR,BERT-base,0.71875,0.575,0.6388888888888888,0.675,84.39831474394822,92.26037483001713,92.26037483001713
Random,HSR,DistilBERT,0.7043478260869566,0.675,0.6893617021276596,0.6958333333333333,84.39831474394822,92.26037483001713,92.26037483001713
Random,HSR,XLM-RoBERTa,0.5178571428571429,0.9666666666666667,0.6744186046511628,0.5333333333333333,84.39831474394822,92.26037483001713,92.26037483001713
Random,HSR,Ensemble,0.8163265306122449,0.6666666666666666,0.7339449541284404,0.7583333333333333,84.39831474394822,92.26037483001713,92.26037483001713
Random,PSR,XGBoost,0.7807017543859649,0.7416666666666667,0.7606837606837606,0.7666666666666667,89.51586629097916,95.08662648564662,95.08662648564662
Random,PSR,BERT-base,0.7272727272727273,0.6,0.6575342465753424,0.6875,89.51586629097916,95.08662648564662,95.08662648564662
Random,PSR,DistilBERT,0.728,0.7583333333333333,0.7428571428571429,0.7375,89.51586629097916,95.08662648564662,95.08662648564662
Random,PSR,XLM-RoBERTa,0.52,0.975,0.6782608695652174,0.5375,89.51586629097916,95.08662648564662,95.08662648564662
Random,PSR,Ensemble,0.8317757009345794,0.7416666666666667,0.7841409691629956,0.7958333333333333,89.51586629097916,95.08662648564662,95.08662648564662
Random,GPT,XGBoost,0.7747747747747747,0.7166666666666667,0.7445887445887446,0.7541666666666667,76.39050768362804,84.31073634740738,84.29848144544661
Random,GPT,BERT-base,0.7652173913043478,0.7333333333333333,0.7489361702127659,0.7541666666666667,76.39050768362804,84.31073634740738,84.29848144544661
Random,GPT,DistilBERT,0.7424242424242424,0.8166666666666667,0.7777777777777778,0.7666666666666667,76.39050768362804,84.31073634740738,84.29848144544661
Random,GPT,XLM-RoBERTa,0.5263157894736842,1.0,0.6896551724137931,0.55,76.39050768362804,84.31073634740738,84.29848144544661
Random,GPT,Ensemble,0.8407079646017699,0.7916666666666666,0.8154506437768241,0.8208333333333333,76.39050768362804,84.31073634740738,84.29848144544661
Random,GPT+Genre,XGBoost,0.7767857142857143,0.725,0.75,0.7583333333333333,76.23086706714966,84.45869156067036,84.44167992647122
Random,GPT+Genre,BERT-base,0.7610619469026548,0.7166666666666667,0.7381974248927039,0.7458333333333333,76.23086706714966,84.45869156067036,84.44167992647122
Random,GPT+Genre,DistilBERT,0.746268656716418,0.8333333333333334,0.7874015748031497,0.775,76.23086706714966,84.45869156067036,84.44167992647122
